,date,adj. close,close,vol
0,2021-04-15,340.4400,340.4400,14137406
1,2021-04-09,337.8600,337.8600,16978370
2,2021-04-01,331.4500,331.4500,19469474
3,2021-03-26,330.6100,330.6100,25489452
4,2021-03-19,326.0100,326.0100,23089323
5,2021-03-12,327.6352,328.3100,30535893
6,2021-03-05,314.5921,315.2400,29570718
7,2021-02-26,308.8140,309.4500,28128447
8,2021-02-19,314.2728,314.9200,8750123
9,2021-02-12,313.7933,315.0400,10592588
10,2021-02-05,310.3072,311.5400,12791044
11,2021-01-29,298.6236,299.8100,24867654
12,2021-01-22,308.7434,309.9700,9168300
13,2021-01-15,306.9007,308.1200,14187725
14,2021-01-08,309.6810,311.0400,23095066
15,2020-12-31,304.4539,305.7900,9551793
16,2020-12-24,300.7004,302.0200,13734372
17,2020-12-18,300.5809,301.9000,17296986
18,2020-12-11,299.0333,300.9300,12737178
19,2020-12-04,300.6828,302.5900,15333688
20,2020-11-27,297.3540,299.2400,10949074
21,2020-11-20,290.6862,292.5300,18589814
22,2020-11-13,292.6372,295.1500,25608556
23,2020-11-06,280.8088,283.2200,23566675
24,2020-10-30,262.8034,265.0600,24743922
25,2020-10-23,280.9278,283.3400,13568895
26,2020-10-16,283.5354,285.9700,12782855
27,2020-10-09,283.3800,285.9300,13346637
28,2020-10-02,274.3314,276.8000,16538399
29,2020-09-25,269.2769,271.7000,20721600
30,2020-09-18,274.0539,276.5200,13833794
31,2020-09-11,273.9582,277.0900,14512249
32,2020-09-04,278.5853,281.7700,23835080
33,2020-08-28,283.4596,286.7000,14764638
34,2020-08-21,276.1334,279.2900,12138824
35,2020-08-14,276.0411,279.8000,13426531
36,2020-08-07,270.9307,274.6200,10873429
37,2020-07-31,260.7987,264.3500,12917930
38,2020-07-24,261.1341,264.6900,14690278
39,2020-07-17,263.1566,266.7400,23409982
40,2020-07-10,257.1125,260.8200,15653110
41,2020-07-02,254.7466,258.4200,14753722
42,2020-06-26,246.8209,250.3800,21153809
43,2020-06-19,255.1212,258.8000,29230201
44,2020-06-12,252.3566,256.7400,39698862
45,2020-06-05,266.9039,271.5400,22020274
46,2020-05-29,249.9484,254.2900,20123930
47,2020-05-22,240.6991,244.8800,18700500
48,2020-05-15,232.8651,236.9100,28291999
49,2020-05-08,238.9942,243.6200,17258390
50,2020-05-01,232.7746,237.2800,22778815
51,2020-04-24,233.3142,237.8300,28067812
52,2020-04-17,237.8268,242.4300,30679886
53,2020-04-09,232.5124,237.1400,37377412
54,2020-04-03,206.4903,210.6000,39389087
55,2020-03-27,212.1281,216.3500,73566507
56,2020-03-20,188.1552,191.9000,67213350
57,2020-03-13,226.8691,232.1100,58149390
58,2020-03-06,253.0053,258.8500,38569210
59,2020-02-28,248.8122,254.5600,52552817
60,2020-02-21,283.1978,289.7400,10612110
61,2020-02-14,287.0929,294.5400,12094690
62,2020-02-07,283.8276,291.1900,16108345
63,2020-01-31,275.2793,282.4200,17529417
64,2020-01-24,282.4727,289.8000,12025333
65,2020-01-17,285.8550,293.2700,10514067
66,2020-01-10,280.8196,288.2400,10966493
67,2020-01-03,278.9490,286.3200,11055550
68,2019-12-27,278.9587,286.3300,6037506
69,2019-12-20,277.1369,284.4600,10852993
70,2019-12-13,274.0132,282.1100,11006703
71,2019-12-06,272.6436,280.7000,12441208
72,2019-11-29,272.8865,280.9500,5690659
73,2019-11-22,270.8564,278.8600,8976176
74,2019-11-15,271.9054,279.9400,9964150
75,2019-11-08,268.6249,277.0700,9388300
76,2019-11-01,265.0086,273.3400,12832696
77,2019-10-25,261.3826,269.6000,9283728
78,2019-10-18,259.4823,267.6400,10917099
79,2019-10-11,259.8186,268.1600,14584424
80,2019-10-04,257.3964,265.6600,21627632
81,2019-09-27,259.6539,267.9900,14623141
82,2019-09-20,260.8747,269.2500,16234010
83,2019-09-13,263.4873,272.6000,12223728
84,2019-09-06,259.3504,268.3200,11130432
85,2019-08-30,255.3005,264.1300,15139177
86,2019-08-23,247.7225,256.2900,14803118
87,2019-08-16,250.2260,258.8800,20170138
88,2019-08-09,254.3822,263.1800,24098770
89,2019-08-02,255.9577,264.8100,20996323
90,2019-07-26,262.7721,271.8600,9781738
91,2019-07-19,262.3758,271.4500,10444298
92,2019-07-12,264.0336,273.3900,9458911
93,2019-07-05,260.0546,269.2700,10172191
94,2019-06-28,256.7517,265.8500,15203640
95,2019-06-21,257.9589,267.1000,19306595
96,2019-06-14,251.9592,261.5100,12157143
97,2019-06-07,250.7452,260.2500,17989158
98,2019-05-31,239.1546,248.2200,18117874
99,2019-05-24,246.7661,256.1200,14808452
100,2019-05-17,248.0379,257.4400,22328854
101,2019-05-10,249.8027,259.9200,26787361
102,2019-05-03,254.6561,264.9700,12505928
103,2019-04-26,255.0117,265.3400,11120363
104,2019-04-18,255.2231,265.5600,11069046
105,2019-04-12,253.6402,264.0700,17123028
106,2019-04-05,253.7267,264.1600,19147047
107,2019-03-29,248.8953,259.1300,18117564
108,2019-03-22,244.8900,254.9600,21956637
109,2019-03-15,248.1365,258.3400,24947931
110,2019-03-08,244.1353,254.7100,19753543
111,2019-03-01,249.6082,260.4200,15892333
112,2019-02-22,249.3686,260.1700,12334148
113,2019-02-15,247.9117,258.6500,17238498
114,2019-02-08,240.2377,251.3200,14407578
115,2019-02-01,239.4347,250.4800,21300416
116,2019-01-25,236.4810,247.3900,16499816
117,2019-01-18,236.1560,247.0500,19491089
118,2019-01-11,229.1409,239.8800,19918911
119,2019-01-04,223.7916,234.2800,25093044
120,2018-12-28,220.1617,230.4800,32004238
121,2018-12-21,214.0578,224.0900,44087551
122,2018-12-14,229.9798,241.4200,26448765
123,2018-12-07,232.7329,244.3100,29093213
124,2018-11-30,243.4021,255.5100,17962812
125,2018-11-23,231.3040,242.8100,17776369
126,2018-11-16,242.0113,254.0500,29897704
127,2018-11-09,247.1805,260.0900,17899284
128,2018-11-02,239.9292,252.4600,28042141
129,2018-10-26,234.2935,246.5300,31450798
130,2018-10-19,241.6969,254.3200,34736064
131,2018-10-12,240.5807,253.3000,46992187
132,2018-10-05,251.0473,264.3200,32410336
133,2018-09-28,251.1233,264.4000,14693970
134,2018-09-21,253.7067,267.1200,18664969
135,2018-09-14,248.2321,261.8900,15841929
136,2018-09-07,246.0047,259.5400,13902637
137,2018-08-31,246.2985,259.8500,16208009
138,2018-08-24,244.4028,257.8500,16516185
139,2018-08-17,243.1327,256.5100,24133184
140,2018-08-10,239.5871,253.3000,13051856
141,2018-08-03,240.6181,254.3900,17988500
142,2018-07-27,240.4951,254.2600,22002428
143,2018-07-20,236.8820,250.4400,12186410
144,2018-07-13,236.3549,250.2000,17757476
145,2018-07-06,231.0648,244.6000,15685124
146,2018-06-29,229.2983,242.7300,29006749
147,2018-06-22,232.0945,245.6900,22627954
148,2018-06-15,236.8650,250.7400,25898033
149,2018-06-08,238.8964,253.2700,18719214
150,2018-06-01,232.3786,246.3600,19548542
151,2018-05-25,233.3313,247.3700,17534020
152,2018-05-18,232.9823,247.0000,15543633
153,2018-05-11,233.7749,248.5400,16752785
154,2018-05-04,228.1125,242.5200,20380137
155,2018-04-27,228.5170,242.9500,21899789
156,2018-04-20,229.9561,244.4800,18604289
157,2018-04-13,228.9859,243.5800,25733611
158,2018-04-06,224.8025,239.1300,37301252
159,2018-03-29,226.9365,241.4000,27726688
160,2018-03-23,221.0422,235.1300,28387669
161,2018-03-16,234.1752,249.1000,26336096
162,2018-03-09,237.9343,253.5600,24412760
163,2018-03-02,230.2303,245.3500,33177573
164,2018-02-23,237.3244,252.9100,26041288
165,2018-02-16,236.4329,251.9600,34966880
166,2018-02-09,226.5351,242.0300,88725657
167,2018-02-02,238.6093,254.9300,34053618
168,2018-01-26,248.8863,265.9100,23730103
169,2018-01-19,243.8601,260.5400,23165003
170,2018-01-12,241.2654,257.9100,17675251
171,2018-01-05,236.4104,252.7200,18265538
172,2017-12-29,231.4150,247.3800,10782128
173,2017-12-22,231.4337,247.4000,12754305
174,2017-12-15,230.3579,246.2500,19464954
175,2017-12-08,227.3800,243.6200,20890214
176,2017-12-01,226.2880,242.4500,26909285
177,2017-11-24,219.7733,235.4700,9102774
178,2017-11-17,217.8319,233.3900,14259202
179,2017-11-10,218.2772,234.4300,13196972
180,2017-11-03,218.9755,235.1800,12154132
181,2017-10-27,218.0351,234.1700,14964568
182,2017-10-20,217.0668,233.1300,12512995
183,2017-10-13,212.8031,228.7300,6899590
184,2017-10-06,211.7053,227.5500,11217066
185,2017-09-29,208.2350,223.8200,10419328
186,2017-09-22,207.6582,223.2000,9879723
187,2017-09-15,206.9604,222.4500,11084900
188,2017-09-08,202.6266,218.2400,9862558
189,2017-09-01,204.1864,219.9200,9565708
190,2017-08-25,202.4409,218.0400,13858177
191,2017-08-18,201.0390,216.5300,14921104
192,2017-08-11,202.5590,218.7000,21859602
193,2017-08-04,204.2910,220.5700,11509377
194,2017-07-28,201.9292,218.0200,10932148
195,2017-07-21,199.6230,215.5300,9920196
